Sales Channel,OrderDate,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Discount Applied,Revenue,recency,frequency,monetary,R,F,M,rfm_group,rfm_total,segment
Online,2019-10-19,17,26,81,45,0.1,302.3,11,153,375766.72,1,2,2,122,5,Need Attention
Online,2019-10-19,19,39,255,15,0.05,967.61,4,176,471608.09,4,5,4,454,13,Potential Loyalists
In-Store,2019-10-20,12,18,88,33,0.075,577.81,6,186,451637.75,3,5,4,354,12,Potential Loyalists
In-Store,2019-10-20,12,20,55,38,0.05,4389.84,9,167,439147.97,2,4,3,243,9,Cant Lose Group
In-Store,2019-10-20,10,5,168,35,0.1,5549.21,30,159,445632.75,1,3,4,134,8,Need Attention
Online,2019-10-20,14,50,133,15,0.075,742.9,16,163,498385.06,1,4,5,145,10,Cant Lose Group
In-Store,2019-10-20,2,6,129,38,0.075,1776.84,4,143,392141.08,4,1,2,412,7,Potential Loyalists
In-Store,2019-10-20,9,8,265,20,0.05,6603.25,5,142,338000.04,3,1,1,311,5,Checker
In-Store,2019-10-20,6,47,102,11,0.15,3197.51,8,168,442845.83999999997,2,4,4,244,10,Cant Lose Group
In-Store,2019-10-20,10,23,197,3,0.1,5595.84,12,164,449782.3,1,4,4,144,9,Cant Lose Group
In-Store,2019-10-21,9,2,68,14,0.075,180.56,9,135,327409.14,2,1,1,211,4,Need Attention
Online,2019-10-21,17,39,151,8,0.15,793.55,4,176,471608.09,4,5,4,454,13,Potential Loyalists
Online,2019-10-21,17,10,328,35,0.075,1900.35,15,158,435122.22000000003,1,3,3,133,7,Need Attention
Online,2019-10-21,20,25,325,28,0.05,219.76,5,162,461601.95,3,4,4,344,11,Potential Loyalists
Wholesale,2019-10-21,26,33,291,38,0.075,4519.28,4,156,495444.29,4,2,5,425,11,Champions
Wholesale,2019-10-21,27,48,320,27,0.15,13417.15,10,172,424970.73,2,5,3,253,10,Cant Lose Group
In-Store,2019-10-22,5,46,333,46,0.075,180.9,4,157,378414.74,4,3,2,432,9,At Risk Customer
In-Store,2019-10-22,3,40,340,40,0.1,4554.39,9,150,406016.91,2,1,2,212,5,Need Attention
Distributor,2019-10-22,21,26,251,15,0.05,1206.0,11,153,375766.72,1,2,2,122,5,Need Attention
Wholesale,2019-10-22,27,14,145,15,0.15,2147.89,5,157,381450.02,3,3,2,332,8,At Risk Customer
In-Store,2019-10-22,7,20,366,7,0.075,637.77,9,167,439147.97,2,4,3,243,9,Cant Lose Group
In-Store,2019-10-22,4,18,338,15,0.075,2429.89,6,186,451637.75,3,5,4,354,12,Potential Loyalists
In-Store,2019-10-22,2,11,54,14,0.2,5152.03,6,178,487614.24,3,5,5,355,13,Champions
Online,2019-10-22,19,20,340,23,0.1,5534.2,9,167,439147.97,2,4,3,243,9,Cant Lose Group
In-Store,2019-10-23,6,34,328,17,0.3,3475.69,15,176,496418.7,1,5,5,155,11,Cant Lose Group
In-Store,2019-10-23,5,39,1,33,0.075,2743.65,4,176,471608.09,4,5,4,454,13,Potential Loyalists
In-Store,2019-10-23,9,22,304,17,0.05,1478.96,4,140,401721.77,4,1,2,412,7,Potential Loyalists
Wholesale,2019-10-23,26,23,122,47,0.15,3024.65,12,164,449782.3,1,4,4,144,9,Cant Lose Group
In-Store,2019-10-23,12,23,207,11,0.05,3869.25,12,164,449782.3,1,4,4,144,9,Cant Lose Group
Distributor,2019-10-23,24,40,214,8,0.1,7886.24,9,150,406016.91,2,1,2,212,5,Need Attention
Wholesale,2019-10-24,26,29,209,39,0.075,4755.66,2,179,531770.74,5,5,5,555,15,Champions
Online,2019-10-24,18,34,335,10,0.4,-371.18,15,176,496418.7,1,5,5,155,11,Cant Lose Group
In-Store,2019-10-24,1,6,246,41,0.05,17927.99,4,143,392141.08,4,1,2,412,7,Potential Loyalists
In-Store,2019-10-24,2,2,360,27,0.05,549.07,9,135,327409.14,2,1,1,211,4,Need Attention
In-Store,2019-10-24,11,17,174,45,0.075,2573.87,6,175,534027.38,3,5,5,355,13,Champions
In-Store,2019-10-24,7,14,60,3,0.1,2068.69,5,157,381450.02,3,3,2,332,8,At Risk Customer
Online,2019-10-24,13,6,102,42,0.075,112.76,4,143,392141.08,4,1,2,412,7,Potential Loyalists
In-Store,2019-10-24,7,1,116,4,0.075,1722.47,9,152,335933.63,2,2,1,221,5,Need Attention
Distributor,2019-10-24,21,34,88,3,0.2,487.76,15,176,496418.7,1,5,5,155,11,Cant Lose Group
Online,2019-10-24,20,28,295,6,0.05,918.97,8,145,348495.46,2,1,1,211,4,Need Attention
Distributor,2019-10-24,21,24,295,41,0.075,3485.34,23,151,352505.54,1,2,1,121,4,Need Attention
Distributor,2019-10-24,21,22,240,46,0.075,5517.78,4,140,401721.77,4,1,2,412,7,Potential Loyalists
In-Store,2019-10-25,7,6,271,4,0.2,1128.88,4,143,392141.08,4,1,2,412,7,Potential Loyalists
In-Store,2019-10-25,11,21,11,4,0.1,10390.23,3,164,479383.05,5,4,5,545,14,Champions
Online,2019-10-25,12,35,80,47,0.3,-654.25,10,145,345844.59,2,1,1,211,4,Need Attention
Online,2019-10-25,17,34,143,35,0.15,2230.7,15,176,496418.7,1,5,5,155,11,Cant Lose Group
In-Store,2019-10-26,3,3,309,19,0.05,3313.55,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Online,2019-10-26,18,44,12,23,0.15,687.42,3,156,348209.08,5,2,1,521,8,Checker
Online,2019-10-26,14,37,185,47,0.075,1054.04,11,152,425241.12,1,2,3,123,6,Need Attention
Online,2019-10-26,13,28,328,20,0.15,1790.24,8,145,348495.46,2,1,1,211,4,Need Attention
Distributor,2019-10-26,23,29,185,35,0.05,652.85,2,179,531770.74,5,5,5,555,15,Champions
In-Store,2019-10-26,3,50,284,32,0.075,756.36,16,163,498385.06,1,4,5,145,10,Cant Lose Group
Online,2019-10-26,18,24,129,6,0.075,636.5,23,151,352505.54,1,2,1,121,4,Need Attention
Online,2019-10-26,20,19,147,6,0.05,3219.22,3,165,443231.83,5,4,4,544,13,Potential Loyalists
In-Store,2019-10-26,11,20,31,23,0.075,1245.9,9,167,439147.97,2,4,3,243,9,Cant Lose Group
Distributor,2019-10-26,21,3,361,46,0.05,600.32,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Distributor,2019-10-26,23,7,44,35,0.4,1056.19,3,153,414155.93,5,2,3,523,10,Potential Loyalists
In-Store,2019-10-26,1,8,55,45,0.05,1189.92,5,142,338000.04,3,1,1,311,5,Checker
In-Store,2019-10-26,3,48,340,13,0.05,1353.13,10,172,424970.73,2,5,3,253,10,Cant Lose Group
Distributor,2019-10-27,24,44,162,8,0.3,6663.55,3,156,348209.08,5,2,1,521,8,Checker
Wholesale,2019-10-27,28,13,13,39,0.075,580.89,4,171,441003.32,4,4,3,443,11,At Risk Customer
In-Store,2019-10-27,2,8,284,46,0.3,10713.03,5,142,338000.04,3,1,1,311,5,Checker
In-Store,2019-10-27,9,2,69,29,0.2,357.78,9,135,327409.14,2,1,1,211,4,Need Attention
In-Store,2019-10-27,11,29,180,8,0.05,7189.37,2,179,531770.74,5,5,5,555,15,Champions
In-Store,2019-10-27,6,34,236,44,0.05,1944.68,15,176,496418.7,1,5,5,155,11,Cant Lose Group
In-Store,2019-10-27,11,35,348,29,0.075,57.45,10,145,345844.59,2,1,1,211,4,Need Attention
Online,2019-10-28,19,17,338,3,0.05,5800.86,6,175,534027.38,3,5,5,355,13,Champions
Online,2019-10-28,13,15,289,47,0.05,1220.2,4,142,441668.35,4,1,4,414,9,Potential Loyalists
Distributor,2019-10-28,20,45,190,14,0.05,226.12,5,156,407145.0,3,2,3,323,8,At Risk Customer
Online,2019-10-28,20,3,98,12,0.05,9433.73,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Online,2019-10-28,12,24,143,15,0.1,773.45,23,151,352505.54,1,2,1,121,4,Need Attention
In-Store,2019-10-28,11,26,126,47,0.1,119.13,11,153,375766.72,1,2,2,122,5,Need Attention
Online,2019-10-28,18,33,76,10,0.075,690.1,4,156,495444.29,4,2,5,425,11,Champions
In-Store,2019-10-28,7,43,146,46,0.3,160.8,5,151,372471.34,3,2,2,322,7,At Risk Customer
In-Store,2019-10-28,5,9,245,42,0.4,527.42,8,171,500166.4,2,4,5,245,11,Cant Lose Group
Online,2019-10-28,13,16,280,12,0.05,1823.47,3,135,402938.75,5,1,2,512,8,Potential Loyalists
Online,2019-10-29,19,37,161,36,0.2,1128.82,11,152,425241.12,1,2,3,123,6,Need Attention
Online,2019-10-29,14,25,169,34,0.075,176.01,5,162,461601.95,3,4,4,344,11,Potential Loyalists
Online,2019-10-29,18,40,163,37,0.075,6142.22,9,150,406016.91,2,1,2,212,5,Need Attention
Online,2019-10-29,17,3,288,15,0.4,-1093.44,10,181,466220.17,2,5,4,254,11,Cant Lose Group
In-Store,2019-10-30,2,4,212,26,0.15,1229.72,5,167,526981.0599999999,3,4,5,345,12,Champions
In-Store,2019-10-30,7,50,249,29,0.05,1585.22,16,163,498385.06,1,4,5,145,10,Cant Lose Group
Distributor,2019-10-30,24,44,42,26,0.15,2915.3,3,156,348209.08,5,2,1,521,8,Checker
Online,2019-10-30,19,14,10,7,0.075,1356.95,5,157,381450.02,3,3,2,332,8,At Risk Customer
Wholesale,2019-10-30,26,6,120,2,0.15,4457.38,4,143,392141.08,4,1,2,412,7,Potential Loyalists
Online,2019-10-30,20,46,97,21,0.05,5638.05,4,157,378414.74,4,3,2,432,9,At Risk Customer
Online,2019-10-30,17,13,42,22,0.1,1969.8,4,171,441003.32,4,4,3,443,11,At Risk Customer
Online,2019-10-30,12,44,4,16,0.075,7537.77,3,156,348209.08,5,2,1,521,8,Checker
Distributor,2019-10-31,22,15,247,36,0.075,1131.23,4,142,441668.35,4,1,4,414,9,Potential Loyalists
Distributor,2019-10-31,25,36,205,29,0.2,615.06,4,156,441225.98,4,2,3,423,9,At Risk Customer
Wholesale,2019-10-31,28,10,176,10,0.3,-852.71,15,158,435122.22000000003,1,3,3,133,7,Need Attention
Online,2019-10-31,18,22,160,26,0.075,2202.29,4,140,401721.77,4,1,2,412,7,Potential Loyalists
In-Store,2019-10-31,8,47,38,2,0.075,322.87,8,168,442845.83999999997,2,4,4,244,10,Cant Lose Group
Online,2019-11-01,13,10,155,8,0.3,-493.39,15,158,435122.22000000003,1,3,3,133,7,Need Attention
In-Store,2019-11-01,11,40,252,23,0.05,2187.95,9,150,406016.91,2,1,2,212,5,Need Attention
In-Store,2019-11-01,7,42,247,11,0.15,3499.01,2,161,427159.63,5,3,3,533,11,Potential Loyalists
In-Store,2019-11-01,5,17,17,44,0.075,1991.84,6,175,534027.38,3,5,5,355,13,Champions
Online,2019-11-01,18,15,321,5,0.1,4142.21,4,142,441668.35,4,1,4,414,9,Potential Loyalists
Online,2019-11-01,15,39,270,3,0.075,1215.04,4,176,471608.09,4,5,4,454,13,Potential Loyalists
In-Store,2019-11-01,6,14,203,23,0.075,1109.22,5,157,381450.02,3,3,2,332,8,At Risk Customer
Online,2019-11-01,19,4,213,13,0.15,4609.33,5,167,526981.0599999999,3,4,5,345,12,Champions
In-Store,2019-11-01,10,6,365,46,0.1,502.5,4,143,392141.08,4,1,2,412,7,Potential Loyalists
Distributor,2019-11-01,25,20,170,7,0.05,12169.14,9,167,439147.97,2,4,3,243,9,Cant Lose Group
Wholesale,2019-11-02,28,15,136,21,0.05,2442.02,4,142,441668.35,4,1,4,414,9,Potential Loyalists
Wholesale,2019-11-02,27,29,143,4,0.15,332.32,2,179,531770.74,5,5,5,555,15,Champions
Online,2019-11-02,20,10,17,34,0.4,76.65,15,158,435122.22000000003,1,3,3,133,7,Need Attention
In-Store,2019-11-02,10,33,48,34,0.075,13483.08,4,156,495444.29,4,2,5,425,11,Champions
Wholesale,2019-11-02,27,11,54,28,0.1,3428.26,6,178,487614.24,3,5,5,355,13,Champions
Distributor,2019-11-02,24,48,352,12,0.075,2594.64,10,172,424970.73,2,5,3,253,10,Cant Lose Group
Distributor,2019-11-02,22,50,322,33,0.075,3980.4,16,163,498385.06,1,4,5,145,10,Cant Lose Group
In-Store,2019-11-02,6,39,93,23,0.05,8302.24,4,176,471608.09,4,5,4,454,13,Potential Loyalists
Online,2019-11-02,16,37,58,21,0.075,2897.42,11,152,425241.12,1,2,3,123,6,Need Attention
Wholesale,2019-11-03,26,5,13,21,0.05,206.36,30,159,445632.75,1,3,4,134,8,Need Attention
In-Store,2019-11-03,12,32,208,4,0.15,1710.91,2,173,435206.07,5,5,3,553,13,Potential Loyalists
In-Store,2019-11-03,3,41,248,36,0.3,386.92,2,161,403693.28,5,3,2,532,10,Potential Loyalists
Distributor,2019-11-03,23,46,252,30,0.05,582.1,4,157,378414.74,4,3,2,432,9,At Risk Customer
Online,2019-11-04,20,50,121,7,0.1,467.66,16,163,498385.06,1,4,5,145,10,Cant Lose Group
Online,2019-11-04,16,1,110,18,0.2,-225.12,9,152,335933.63,2,2,1,221,5,Need Attention
Online,2019-11-04,13,37,328,36,0.15,263.58,11,152,425241.12,1,2,3,123,6,Need Attention
In-Store,2019-11-04,11,10,17,47,0.05,6629.78,15,158,435122.22000000003,1,3,3,133,7,Need Attention
In-Store,2019-11-04,6,15,170,7,0.2,2012.01,4,142,441668.35,4,1,4,414,9,Potential Loyalists
Online,2019-11-04,20,50,189,17,0.1,676.77,16,163,498385.06,1,4,5,145,10,Cant Lose Group
In-Store,2019-11-04,9,27,236,9,0.1,1103.69,3,144,336959.79,5,1,1,511,7,Checker
In-Store,2019-11-04,11,44,310,3,0.075,5171.33,3,156,348209.08,5,2,1,521,8,Checker
Distributor,2019-11-04,22,7,65,8,0.15,731.77,3,153,414155.93,5,2,3,523,10,Potential Loyalists
Online,2019-11-04,13,45,112,44,0.05,1511.52,5,156,407145.0,3,2,3,323,8,At Risk Customer
Wholesale,2019-11-04,27,37,266,43,0.05,1881.36,11,152,425241.12,1,2,3,123,6,Need Attention
Wholesale,2019-11-05,27,39,182,37,0.05,1248.48,4,176,471608.09,4,5,4,454,13,Potential Loyalists
Wholesale,2019-11-05,27,13,288,31,0.05,5195.45,4,171,441003.32,4,4,3,443,11,At Risk Customer
Online,2019-11-05,19,18,16,34,0.05,1238.16,6,186,451637.75,3,5,4,354,12,Potential Loyalists
In-Store,2019-11-05,7,3,28,47,0.05,4431.65,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Online,2019-11-05,17,50,364,21,0.075,2253.55,16,163,498385.06,1,4,5,145,10,Cant Lose Group
Distributor,2019-11-05,25,16,321,4,0.075,674.15,3,135,402938.75,5,1,2,512,8,Potential Loyalists
Online,2019-11-05,16,13,102,21,0.05,11107.53,4,171,441003.32,4,4,3,443,11,At Risk Customer
Distributor,2019-11-06,24,19,41,2,0.1,909.86,3,165,443231.83,5,4,4,544,13,Potential Loyalists
In-Store,2019-11-06,6,10,337,42,0.05,66.2,15,158,435122.22000000003,1,3,3,133,7,Need Attention
Distributor,2019-11-06,21,22,95,10,0.05,300.7,4,140,401721.77,4,1,2,412,7,Potential Loyalists
In-Store,2019-11-06,3,2,323,40,0.1,289.44,9,135,327409.14,2,1,1,211,4,Need Attention
In-Store,2019-11-06,4,48,104,29,0.075,123.11,10,172,424970.73,2,5,3,253,10,Cant Lose Group
In-Store,2019-11-06,2,46,262,47,0.05,386.99,4,157,378414.74,4,3,2,432,9,At Risk Customer
Online,2019-11-06,16,2,68,38,0.1,7192.58,9,135,327409.14,2,1,1,211,4,Need Attention
Distributor,2019-11-06,24,9,156,37,0.075,6478.06,8,171,500166.4,2,4,5,245,11,Cant Lose Group
Online,2019-11-07,20,45,341,2,0.05,9346.23,5,156,407145.0,3,2,3,323,8,At Risk Customer
In-Store,2019-11-07,4,12,69,14,0.1,3288.16,3,210,616719.31,5,5,5,555,15,Champions
In-Store,2019-11-07,4,49,287,21,0.05,2706.13,7,152,354161.33,2,2,1,221,5,Need Attention
Distributor,2019-11-07,23,1,307,23,0.1,10223.66,9,152,335933.63,2,2,1,221,5,Need Attention
Distributor,2019-11-07,24,39,124,20,0.1,8552.55,4,176,471608.09,4,5,4,454,13,Potential Loyalists
Distributor,2019-11-07,21,33,105,2,0.075,13222.72,4,156,495444.29,4,2,5,425,11,Champions
Online,2019-11-07,13,39,281,35,0.05,3089.5,4,176,471608.09,4,5,4,454,13,Potential Loyalists
Online,2019-11-07,20,36,103,7,0.3,427.12,4,156,441225.98,4,2,3,423,9,At Risk Customer
Distributor,2019-11-08,22,35,28,43,0.05,1884.04,10,145,345844.59,2,1,1,211,4,Need Attention
In-Store,2019-11-08,8,12,43,16,0.15,4582.8,3,210,616719.31,5,5,5,555,15,Champions
In-Store,2019-11-08,3,15,144,35,0.05,381.9,4,142,441668.35,4,1,4,414,9,Potential Loyalists
In-Store,2019-11-08,10,26,110,38,0.1,1422.01,11,153,375766.72,1,2,2,122,5,Need Attention
In-Store,2019-11-08,9,20,211,12,0.05,410.04,9,167,439147.97,2,4,3,243,9,Cant Lose Group
In-Store,2019-11-08,10,2,73,28,0.05,2041.62,9,135,327409.14,2,1,1,211,4,Need Attention
In-Store,2019-11-09,1,26,242,21,0.05,6583.15,11,153,375766.72,1,2,2,122,5,Need Attention
Online,2019-11-09,13,17,77,19,0.075,1215.35,6,175,534027.38,3,5,5,355,13,Champions
Distributor,2019-11-09,22,39,350,21,0.15,183.31,4,176,471608.09,4,5,4,454,13,Potential Loyalists
In-Store,2019-11-09,3,33,362,13,0.075,1479.23,4,156,495444.29,4,2,5,425,11,Champions
Online,2019-11-10,17,30,281,41,0.2,2323.56,4,159,442372.43,4,3,4,434,11,Potential Loyalists
In-Store,2019-11-10,12,22,269,4,0.05,2734.94,4,140,401721.77,4,1,2,412,7,Potential Loyalists
In-Store,2019-11-10,2,29,37,42,0.075,423.71,2,179,531770.74,5,5,5,555,15,Champions
Distributor,2019-11-11,23,11,234,37,0.05,892.24,6,178,487614.24,3,5,5,355,13,Champions
Distributor,2019-11-11,24,14,296,1,0.05,696.46,5,157,381450.02,3,3,2,332,8,At Risk Customer
Distributor,2019-11-11,20,25,331,36,0.05,2316.06,5,162,461601.95,3,4,4,344,11,Potential Loyalists
In-Store,2019-11-11,5,15,364,27,0.2,61.91,4,142,441668.35,4,1,4,414,9,Potential Loyalists
Online,2019-11-11,19,24,8,35,0.05,6294.72,23,151,352505.54,1,2,1,121,4,Need Attention
Wholesale,2019-11-11,28,19,266,20,0.15,1682.77,3,165,443231.83,5,4,4,544,13,Potential Loyalists
In-Store,2019-11-11,8,44,67,2,0.4,1282.11,3,156,348209.08,5,2,1,521,8,Checker
Online,2019-11-11,20,25,104,28,0.1,5820.69,5,162,461601.95,3,4,4,344,11,Potential Loyalists
Wholesale,2019-11-11,25,10,364,18,0.05,22239.71,15,158,435122.22000000003,1,3,3,133,7,Need Attention
In-Store,2019-11-11,7,31,193,31,0.15,533.86,4,152,398616.83,4,2,2,422,8,At Risk Customer
In-Store,2019-11-12,3,6,323,8,0.05,7307.96,4,143,392141.08,4,1,2,412,7,Potential Loyalists
Distributor,2019-11-12,23,5,47,45,0.1,3831.26,30,159,445632.75,1,3,4,134,8,Need Attention
In-Store,2019-11-12,1,41,330,13,0.075,241.2,2,161,403693.28,5,3,2,532,10,Potential Loyalists
Online,2019-11-12,20,41,266,15,0.075,6593.2,2,161,403693.28,5,3,2,532,10,Potential Loyalists
In-Store,2019-11-12,10,34,282,22,0.15,767.82,15,176,496418.7,1,5,5,155,11,Cant Lose Group
In-Store,2019-11-12,10,11,95,26,0.1,3103.44,6,178,487614.24,3,5,5,355,13,Champions
Online,2019-11-13,16,15,131,13,0.05,2547.07,4,142,441668.35,4,1,4,414,9,Potential Loyalists
Distributor,2019-11-13,21,4,16,5,0.075,1737.65,5,167,526981.0599999999,3,4,5,345,12,Champions
Online,2019-11-13,15,1,364,40,0.15,115.24,9,152,335933.63,2,2,1,221,5,Need Attention
In-Store,2019-11-13,9,3,117,22,0.075,9739.96,10,181,466220.17,2,5,4,254,11,Cant Lose Group
Distributor,2019-11-13,21,16,94,37,0.075,6150.6,3,135,402938.75,5,1,2,512,8,Potential Loyalists
Online,2019-11-13,14,23,135,13,0.1,855.46,12,164,449782.3,1,4,4,144,9,Cant Lose Group
Distributor,2019-11-13,22,41,70,31,0.2,2896.54,2,161,403693.28,5,3,2,532,10,Potential Loyalists
In-Store,2019-11-13,9,9,158,20,0.075,1452.22,8,171,500166.4,2,4,5,245,11,Cant Lose Group
Online,2019-11-13,17,33,12,3,0.4,-1883.37,4,156,495444.29,4,2,5,425,11,Champions
Online,2019-11-13,16,36,353,10,0.075,9993.12,4,156,441225.98,4,2,3,423,9,At Risk Customer
Distributor,2019-11-14,24,26,335,35,0.15,12007.34,11,153,375766.72,1,2,2,122,5,Need Attention
Online,2019-11-14,18,42,13,30,0.15,355.1,2,161,427159.63,5,3,3,533,11,Potential Loyalists
In-Store,2019-11-14,11,38,65,4,0.05,5853.12,8,150,350687.63,2,1,1,211,4,Need Attention
In-Store,2019-11-14,3,26,329,17,0.05,303.11,11,153,375766.72,1,2,2,122,5,Need Attention
Distributor,2019-11-14,22,2,84,41,0.075,1175.45,9,135,327409.14,2,1,1,211,4,Need Attention
In-Store,2019-11-14,10,38,353,37,0.4,127.3,8,150,350687.63,2,1,1,211,4,Need Attention
In-Store,2019-11-14,1,37,6,19,0.075,2166.78,11,152,425241.12,1,2,3,123,6,Need Attention
In-Store,2019-11-14,3,31,286,18,0.075,5534.2,4,152,398616.83,4,2,2,422,8,At Risk Customer
In-Store,2019-11-14,8,44,237,6,0.05,3872.6,3,156,348209.08,5,2,1,521,8,Checker
Online,2019-11-14,17,5,280,12,0.4,433.96,30,159,445632.75,1,3,4,134,8,Need Attention
In-Store,2019-11-14,2,22,259,18,0.05,2578.16,4,140,401721.77,4,1,2,412,7,Potential Loyalists
Distributor,2019-11-14,22,27,253,23,0.15,5897.54,3,144,336959.79,5,1,1,511,7,Checker
In-Store,2019-11-14,5,13,86,45,0.4,1146.77,4,171,441003.32,4,4,3,443,11,At Risk Customer
In-Store,2019-11-15,12,32,105,33,0.4,2029.16,2,173,435206.07,5,5,3,553,13,Potential Loyalists
Online,2019-11-15,18,43,188,30,0.05,3212.78,5,151,372471.34,3,2,2,322,7,At Risk Customer
Online,2019-11-15,14,19,142,6,0.05,1337.86,3,165,443231.83,5,4,4,544,13,Potential Loyalists
Wholesale,2019-11-15,27,40,10,1,0.3,3224.84,9,150,406016.91,2,1,2,212,5,Need Attention
In-Store,2019-11-15,10,12,185,37,0.05,12139.33,3,210,616719.31,5,5,5,555,15,Champions
Distributor,2019-11-15,25,38,120,36,0.15,1289.75,8,150,350687.63,2,1,1,211,4,Need Attention
Online,2019-11-15,19,42,282,40,0.15,4316.68,2,161,427159.63,5,3,3,533,11,Potential Loyalists
Wholesale,2019-11-15,28,6,237,34,0.05,2717.52,4,143,392141.08,4,1,2,412,7,Potential Loyalists
Wholesale,2019-11-15,27,25,220,9,0.2,603.0,5,162,461601.95,3,4,4,344,11,Potential Loyalists
Online,2019-11-15,13,31,157,12,0.05,5175.88,4,152,398616.83,4,2,2,422,8,At Risk Customer
In-Store,2019-11-15,3,30,208,24,0.1,2104.87,4,159,442372.43,4,3,4,434,11,Potential Loyalists
In-Store,2019-11-16,12,48,78,31,0.05,6695.71,10,172,424970.73,2,5,3,253,10,Cant Lose Group
Distributor,2019-11-16,24,38,103,43,0.15,3691.7,8,150,350687.63,2,1,1,211,4,Need Attention
Online,2019-11-16,13,36,181,34,0.05,1058.26,4,156,441225.98,4,2,3,423,9,At Risk Customer
In-Store,2019-11-16,11,46,110,25,0.05,2744.32,4,157,378414.74,4,3,2,432,9,At Risk Customer
Distributor,2019-11-16,25,21,174,25,0.05,3001.6,3,164,479383.05,5,4,5,545,14,Champions
Online,2019-11-16,15,15,135,34,0.075,7772.8,4,142,441668.35,4,1,4,414,9,Potential Loyalists
In-Store,2019-11-16,10,26,321,17,0.05,4339.46,11,153,375766.72,1,2,2,122,5,Need Attention
Wholesale,2019-11-16,25,21,178,33,0.2,5722.27,3,164,479383.05,5,4,5,545,14,Champions
In-Store,2019-11-16,1,23,72,6,0.05,1267.71,12,164,449782.3,1,4,4,144,9,Cant Lose Group
In-Store,2019-11-16,9,40,228,47,0.05,627.12,9,150,406016.91,2,1,2,212,5,Need Attention
Online,2019-11-16,13,18,37,29,0.05,172.59,6,186,451637.75,3,5,4,354,12,Potential Loyalists
Online,2019-11-16,15,8,30,43,0.3,1903.87,5,142,338000.04,3,1,1,311,5,Checker
Online,2019-11-17,18,35,297,34,0.2,836.16,10,145,345844.59,2,1,1,211,4,Need Attention
In-Store,2019-11-17,9,49,300,32,0.15,280.86,7,152,354161.33,2,2,1,221,5,Need Attention
In-Store,2019-11-17,11,16,243,10,0.05,8267.46,3,135,402938.75,5,1,2,512,8,Potential Loyalists
In-Store,2019-11-17,5,49,74,19,0.05,4544.61,7,152,354161.33,2,2,1,221,5,Need Attention
Online,2019-11-17,18,20,107,33,0.05,418.08,9,167,439147.97,2,4,3,243,9,Cant Lose Group
Wholesale,2019-11-17,27,33,28,29,0.075,10733.4,4,156,495444.29,4,2,5,425,11,Champions
In-Store,2019-11-17,1,17,1,11,0.075,6623.45,6,175,534027.38,3,5,5,355,13,Champions
In-Store,2019-11-17,3,6,22,8,0.1,1763.78,4,143,392141.08,4,1,2,412,7,Potential Loyalists
Online,2019-11-17,19,36,117,10,0.15,160.8,4,156,441225.98,4,2,3,423,9,At Risk Customer
Online,2019-11-17,14,42,163,45,0.075,7977.56,2,161,427159.63,5,3,3,533,11,Potential Loyalists
Online,2019-11-18,12,32,297,33,0.15,453.05,2,173,435206.07,5,5,3,553,13,Potential Loyalists
Distributor,2019-11-18,23,47,64,22,0.075,9198.76,8,168,442845.83999999997,2,4,4,244,10,Cant Lose Group
Distributor,2019-11-18,24,14,236,21,0.075,4601.29,5,157,381450.02,3,3,2,332,8,At Risk Customer
In-Store,2019-11-18,4,12,262,3,0.2,160.26,3,210,616719.31,5,5,5,555,15,Champions
In-Store,2019-11-18,10,18,185,10,0.05,1114.34,6,186,451637.75,3,5,4,354,12,Potential Loyalists
In-Store,2019-11-18,2,7,302,40,0.15,1913.52,3,153,414155.93,5,2,3,523,10,Potential Loyalists
Online,2019-11-18,16,44,275,41,0.05,2345.13,3,156,348209.08,5,2,1,521,8,Checker
Distributor,2019-11-18,25,2,187,18,0.075,2088.73,9,135,327409.14,2,1,1,211,4,Need Attention
Online,2019-11-19,17,21,12,41,0.2,690.37,3,164,479383.05,5,4,5,545,14,Champions
In-Store,2019-11-19,1,49,272,11,0.3,-1680.9,7,152,354161.33,2,2,1,221,5,Need Attention
Distributor,2019-11-19,23,29,267,35,0.05,14626.9,2,179,531770.74,5,5,5,555,15,Champions
In-Store,2019-11-19,5,33,225,38,0.15,1468.91,4,156,495444.29,4,2,5,425,11,Champions
In-Store,2019-11-19,2,35,316,27,0.05,325.62,10,145,345844.59,2,1,1,211,4,Need Attention
Distributor,2019-11-19,24,44,33,16,0.075,3033.49,3,156,348209.08,5,2,1,521,8,Checker
Online,2019-11-19,15,43,157,4,0.2,-809.02,5,151,372471.34,3,2,2,322,7,At Risk Customer
In-Store,2019-11-19,9,8,198,9,0.15,635.16,5,142,338000.04,3,1,1,311,5,Checker
Distributor,2019-11-19,21,21,94,19,0.05,2514.91,3,164,479383.05,5,4,5,545,14,Champions
Online,2019-11-19,17,14,233,10,0.1,5721.26,5,157,381450.02,3,3,2,332,8,At Risk Customer
Online,2019-11-19,13,12,309,32,0.1,131.32,3,210,616719.31,5,5,5,555,15,Champions
Online,2019-11-19,18,29,135,3,0.2,3172.11,2,179,531770.74,5,5,5,555,15,Champions
